USA,Canada,Norway/UK,Australia,All Others,Total
CO2 from Operations	7100	3100	2100	3900	3700	19900
CO2 from Imported Electricity	900	600	0	0	0	1500
Methane (CO2 equivalent) 	3700	1300	100	100	100	5300
Nitrous Oxide (CO2 equivalent) 	0	0	0	0	0	100
Total Greenhouse Gases 	11700	5000	2200	4000	3800	26800
CO2 from Operations	5000	3300	2100	4200	2900	17500
CO2 from Imported Electricity	600	500	0	0	0	1100
Methane (CO2 equivalent) 	1400	0	100	0	100	1600
Nitrous Oxide (CO2 equivalent) 	0	0	0	0	0	100
Total Greenhouse Gases 	7000	3800	2200	4200	3000	20300
CO2 from Operations	5900	3000	1200	4000	3600	17700
CO2 from Imported Electricity	600	400	0	0	0	1000
Methane (CO2 equivalent) 	1600	0	0	0	100	1700
Nitrous Oxide (CO2 equivalent) 	0	100	0	0	0	100
Total Greenhouse Gases 	8100	3500	1200	4000	3700	20500
CO2 from Operations	4600	2800	1200	2000	3200	13800
CO2 from Imported Electricity	400	300	0	0	0	700
Methane (CO2 equivalent) 	1500	100	0	0	0	1600
Nitrous Oxide (CO2 equivalent) 	0	100	0	0	0	100
Total Greenhouse Gases 	6500	3300	1200	2000	3200	16200
CO2 from Operations	6200	3400	1200	2100	3000	15900
CO2 from Imported Electricity	600	400	0	0	0	1000
Methane (CO2 equivalent) 	1600	100	0	0	100	1800
Nitrous Oxide (CO2 equivalent) 	10	0	0	0	10	20
Total Greenhouse Gases 	8410	3900	1200	2100	3110	18720
CO2 from Operations	6129	3217	1094	2104	685	13228
CO2 from Imported Electricity	711	336	14	0	0	1060
Methane (CO2 equivalent) 	1593	46	27	28	10	1704
Nitrous Oxide (CO2 equivalent) 	8	7	4	2	1	21
Total Greenhouse Gases 	8441	3605	1138	2134	697	16014
